Entreprise,Commune,Nom de votre entreprise,SIRET,Adresse complète de votre entreprise (avec code postal et ville),Latitude,Longitude,Adresse mail,Numéro de téléphone, Merci de préciser l'adresse de votre site Web ou de votre page Facebook si vous en avez ? ,Alimentation,Service,Bâtiment,Métiers d'arts,Comment proposez-vous vos produits et services ?, [Lundi], [Mardi], [Mercredi], [Jeudi], [Vendredi], [Samedi], [Dimanche],Texte,Departement,Services,Ouverture,Distribution,Ville,Url modification
Massages bien-être Audrey,Le Cannet,Massages bien-être Audrey,53301779400033,"9 rue Gaston Cauvin,06110 le Cannet","43,5695286","7,0223107",audreyvero@hotmail.com,0612811598,,,Entretien corporel bien être,,,"Déplacement à domicile, Sur rendez-vous","Matin, Après-midi","Matin, Après-midi",,"Matin, Après-midi","Matin, Après-midi","Matin, Midi, Après-midi",,,Alpes-Maritimes, <br />Entretien corporel bien être <br /> <br />,"Lundi :Matin, Après-midi\nMardi :Matin, Après-midi\nJeudi :Matin, Après-midi\nVendredi :Matin, Après-midi\nSamedi :Matin, Midi, Après-midi",Déplacement à domicile<br /> Sur rendez-vous,Le Cannet,https://docs.google.com/forms/d/e/1FAIpQLSedEvhvPyeuy-qQ8ZdyaXP9g9Uv4IuQNWlsXvhOMnaqGC8tgg/viewform?edit2=2_ABaOnuc0A6jrSDlilUvVU_ZrCrnlYDAgoAv229eEExXKnnR_16Btwkpz9vq_a3vE4M9YKX4
CSE,Orange,CSE,78884656600024,"219 chemin de la jardinière, 84100 ORANGE","44,1266357","4,8416734",cse69650@gmail.com,0658529837,,,,Maçon,,"Déplacement à domicile, Sur rendez-vous","Matin, Après-midi","Matin, Après-midi","Matin, Après-midi","Matin, Après-midi","Matin, Après-midi",Matin,,,Vaucluse, <br /> <br />Maçon <br />,"Lundi :Matin, Après-midi\nMardi :Matin, Après-midi\nMercredi :Matin, Après-midi\nJeudi :Matin, Après-midi\nVendredi :Matin, Après-midi\nSamedi :Matin",Déplacement à domicile<br /> Sur rendez-vous,Orange,https://docs.google.com/forms/d/e/1FAIpQLSedEvhvPyeuy-qQ8ZdyaXP9g9Uv4IuQNWlsXvhOMnaqGC8tgg/viewform?edit2=2_ABaOnue5qjQPhLRoXl6wEsbM5XP9UxwAngHBbl1uc1wY_m-CNXmutQeK89y5ToRbwnMlVYI
Eric MARTINEZ,Carpentras,Eric MARTINEZ,44326205000034,1612 chemin Saint Roch 84200 CARPENTRAS,"44,0779694","5,0515041",contact@e-martinez.pro,0651985845,https://e-martinez.pro,,"Photographe, Vidéaste",,,"Déplacement à domicile, Sur rendez-vous","Matin, Après-midi","Matin, Après-midi","Matin, Après-midi","Matin, Après-midi","Matin, Après-midi",,,,Vaucluse, <br />Photographe <br /> Vidéaste <br /> <br />,"Lundi :Matin, Après-midi\nMardi :Matin, Après-midi\nMercredi :Matin, Après-midi\nJeudi :Matin, Après-midi\nVendredi :Matin, Après-midi","Déplacement à domicile<br /> Sur rendez-vous<br /><a href=""https://e-martinez.pro"" target=""_blank"">https://e-martinez.pro</a>",Carpentras,https://docs.google.com/forms/d/e/1FAIpQLSedEvhvPyeuy-qQ8ZdyaXP9g9Uv4IuQNWlsXvhOMnaqGC8tgg/viewform?edit2=2_ABaOnud9Ci6a5wraCxDbY3LhCjFrA4tBvwdVCOaNU3hNZ_mKXLOlgxE63WGtk9o5QrCIaJc
Frédéric Sicard Photographe,Morières-lès-Avignon,Frédéric Sicard Photographe,82244950000013,"223 Rue Crillon, 84310 Morière lès Avignon","43,9393576","4,9055238",contact@fredsphotographe.com,0609327347,https://fredsphotographe.com,,Photographe,,,"Commande par téléphone, Déplacement à domicile, En magasin, Sur rendez-vous, Vente en ligne","Matin, Après-midi","Matin, Après-midi","Matin, Après-midi","Matin, Après-midi","Matin, Après-midi","Matin, Après-midi","Matin, Après-midi",,Vaucluse, <br />Photographe <br /> <br />,"Lundi :Matin, Après-midi\nMardi :Matin, Après-midi\nMercredi :Matin, Après-midi\nJeudi :Matin, Après-midi\nVendredi :Matin, Après-midi\nSamedi :Matin, Après-midi\nDimanche :Matin, Après-midi","Commande par téléphone<br /> Déplacement à domicile<br /> En magasin<br /> Sur rendez-vous<br /> Vente en ligne<br /><a href=""https://fredsphotographe.com"" target=""_blank"">https://fredsphotographe.com</a>",Morières-lès-Avignon,https://docs.google.com/forms/d/e/1FAIpQLSedEvhvPyeuy-qQ8ZdyaXP9g9Uv4IuQNWlsXvhOMnaqGC8tgg/viewform?edit2=2_ABaOnudbw32zASmHtgLcukvaLZraAQ2gXWDpjgG168Bbpq7x1gjApqt-RvWTZXPMVcoVGiw
TMJ MONTAUROUX,Montauroux,TMJ MONTAUROUX,51281780000018,325 CHEMIN DE LA BUISSIERE 83440 MONTAUROUX,"43,5926202","6,7891414",joly.xavier@hotmail.fr,0661380496,https://maconnerie-montauroux.fr/,,,Maçon,,Sur rendez-vous,"Matin, Après-midi","Matin, Après-midi","Matin, Après-midi","Matin, Après-midi","Matin, Après-midi",,,,Var, <br /> <br />Maçon <br />,"Lundi :Matin, Après-midi\nMardi :Matin, Après-midi\nMercredi :Matin, Après-midi\nJeudi :Matin, Après-midi\nVendredi :Matin, Après-midi","Sur rendez-vous<br /><a href=""https://maconnerie-montauroux.fr/"" target=""_blank"">https://maconnerie-montauroux.fr/</a>",Montauroux,https://docs.google.com/forms/d/e/1FAIpQLSedEvhvPyeuy-qQ8ZdyaXP9g9Uv4IuQNWlsXvhOMnaqGC8tgg/viewform?edit2=2_ABaOnudqb-JUbAvnlTeXU5dPq41Lv_A9BmxGODu2lflvkmoq-oLCQ6UVJ25Y32NHkCeOsH4
Julia Pub Déco,Antibes,Julia Pub Déco,48276897500021,144 voie tripodi 06600 Antibes,"43,5985698","7,0840117",julia.pubdeco@gmail.com,0624373243,http://www.facebook.com/pages/Julia-Pub-decO/116735675058439?v=info,,Personnalisation de textile et impression numérique,,,"Commande par téléphone, Déplacement à domicile, En magasin, Livraison, Sur rendez-vous, Vente en ligne","Matin, Midi, Après-midi","Matin, Midi, Après-midi","Matin, Midi, Après-midi","Matin, Midi, Après-midi","Matin, Midi, Après-midi",Matin,,,Alpes-Maritimes, <br />Personnalisation de textile et impression numérique <br /> <br />,"Lundi :Matin, Midi, Après-midi\nMardi :Matin, Midi, Après-midi\nMercredi :Matin, Midi, Après-midi\nJeudi :Matin, Midi, Après-midi\nVendredi :Matin, Midi, Après-midi\nSamedi :Matin","Commande par téléphone<br /> Déplacement à domicile<br /> En magasin<br /> Livraison<br /> Sur rendez-vous<br /> Vente en ligne<br /><a href=""http://www.facebook.com/pages/Julia-Pub-decO/116735675058439?v=info"" target=""_blank"">http://www.facebook.com/pages/Julia-Pub-decO/116735675058439?v=info</a>",Antibes,https://docs.google.com/forms/d/e/1FAIpQLSedEvhvPyeuy-qQ8ZdyaXP9g9Uv4IuQNWlsXvhOMnaqGC8tgg/viewform?edit2=2_ABaOnucKYnOf8rJSUpRpCs4xC-nYpHwBejfh5F7HEs2JFfIojbEgGGBoMezf3nEq1LIFukE
Jon Electronics,Mormoiron,Jon Electronics,32229109700044,6 Chemin de la Breche 84570 Mormoiron,"44,0687193","5,1832063",jonelectronics@yahoo.com,0490616234,https://www.jon-electronics.com,,Réparations Electroniques,,,En atelier,"Matin, Après-midi","Matin, Après-midi","Matin, Après-midi",Après-midi,"Matin, Après-midi",Après-midi,,,Vaucluse, <br />Réparations Electroniques <br /> <br />,"Lundi :Matin, Après-midi\nMardi :Matin, Après-midi\nMercredi :Matin, Après-midi\nJeudi :Après-midi\nVendredi :Matin, Après-midi\nSamedi :Après-midi","En atelier<br /><a href=""https://www.jon-electronics.com"" target=""_blank"">https://www.jon-electronics.com</a>",Mormoiron,https://docs.google.com/forms/d/e/1FAIpQLSedEvhvPyeuy-qQ8ZdyaXP9g9Uv4IuQNWlsXvhOMnaqGC8tgg/viewform?edit2=2_ABaOnucdKnELLDzkADmLyRDAY5B1l5Pk41Rz89k7ak9IGOThpETV6rk1LCED8EYIBAIPq1k
Les Folies de Cajumy,Orange,Les Folies de Cajumy,83178927600019,"163 rue des sables, 84100 ORANGE","44,1295216","4,8259602",lesfoliesdecajumy@gmail.com,0662215568,https://lesfoliesdecajumy.fr/,,Couturier,,,"Sur rendez-vous, Vente en ligne","Matin, Midi, Après-midi","Matin, Midi, Après-midi","Matin, Midi, Après-midi","Matin, Midi, Après-midi","Matin, Midi, Après-midi","Matin, Midi, Après-midi",,,Vaucluse, <br />Couturier <br /> <br />,"Lundi :Matin, Midi, Après-midi\nMardi :Matin, Midi, Après-midi\nMercredi :Matin, Midi, Après-midi\nJeudi :Matin, Midi, Après-midi\nVendredi :Matin, Midi, Après-midi\nSamedi :Matin, Midi, Après-midi","Sur rendez-vous<br /> Vente en ligne<br /><a href=""https://lesfoliesdecajumy.fr/"" target=""_blank"">https://lesfoliesdecajumy.fr/</a>",Orange,https://docs.google.com/forms/d/e/1FAIpQLSedEvhvPyeuy-qQ8ZdyaXP9g9Uv4IuQNWlsXvhOMnaqGC8tgg/viewform?edit2=2_ABaOnudzxbZxXm_t5mmxG0ZAgtJB8bPJ1eYblD2PkAo3s0Gu6GcU00nCJ4swy_zF98wOFxk
andréani créations,La Penne-sur-Huveaune,andréani créations,47889767100044,8 Imp Des Fleurs - 13821 la penne sur huveaune,"43,2779914","5,5143428",infos@atelier-andreani.fr,0662874996,https://www.atelier-andreani.fr,,,,"Bijoutier-joaillier, Potier-céramiste, réalisation d'oyas et art de la table sur demande","Commande par téléphone, Drive, En magasin, Livraison, Sur rendez-vous, Vente en ligne, en magasins revendeurs","Matin, Après-midi","Matin, Après-midi","Matin, Après-midi","Matin, Après-midi","Matin, Après-midi","Matin, Après-midi",,,Bouches-du-Rhône, <br /> <br /> <br />Bijoutier-joaillier <br /> Potier-céramiste <br /> réalisation d'oyas et art de la table sur demande,"Lundi :Matin, Après-midi\nMardi :Matin, Après-midi\nMercredi :Matin, Après-midi\nJeudi :Matin, Après-midi\nVendredi :Matin, Après-midi\nSamedi :Matin, Après-midi","Commande par téléphone<br /> Drive<br /> En magasin<br /> Livraison<br /> Sur rendez-vous<br /> Vente en ligne<br /> en magasins revendeurs<br /><a href=""https://www.atelier-andreani.fr"" target=""_blank"">https://www.atelier-andreani.fr</a>",La Penne-sur-Huveaune,https://docs.google.com/forms/d/e/1FAIpQLSedEvhvPyeuy-qQ8ZdyaXP9g9Uv4IuQNWlsXvhOMnaqGC8tgg/viewform?edit2=2_ABaOnucIhb0khFR0UoZwXa7Tnwn263ywixq99sGqRW3RTVpiw-xdDaXbL6-aa-Ags7Rp7No
SARL CrazyLED,Peymeinade,SARL CrazyLED,82071844300014,65 Avenue de Boutiny 06530 Peymeinade,"43,6443827","6,8821829",minineon@wanadoo.fr,0624966831,https://www.minineon.com/,,"Installateur, Réparateur d'appareils électroménagers, Réparateur de matériels électroniques",Électricien,,"Commande par téléphone, Drive, En magasin, Livraison, Vente en ligne","Matin, Midi","Matin, Midi","Matin, Midi","Matin, Midi","Matin, Midi",,,,Alpes-Maritimes, <br />Installateur <br /> Réparateur d'appareils électroménagers <br /> Réparateur de matériels électroniques <br />Électricien <br />,"Lundi :Matin, Midi\nMardi :Matin, Midi\nMercredi :Matin, Midi\nJeudi :Matin, Midi\nVendredi :Matin, Midi","Commande par téléphone<br /> Drive<br /> En magasin<br /> Livraison<br /> Vente en ligne<br /><a href=""https://www.minineon.com/"" target=""_blank"">https://www.minineon.com/</a>",Peymeinade,https://docs.google.com/forms/d/e/1FAIpQLSedEvhvPyeuy-qQ8ZdyaXP9g9Uv4IuQNWlsXvhOMnaqGC8tgg/viewform?edit2=2_ABaOnue9Jux6IrBWtHuGeRSH_SRBqieJZtoQoh02pstFTtlZ8JlPd22O7_uav9FNpeEek4w
SABYJOUX,Nice,SABYJOUX,82000429900021,11 avenue Alfred de Vigny 06100 Nice,"43,7240343","7,264251",sabrina.raffaelli@laposte.net,0613664624,https://sabyjoux.com,,,,Bijoutier-joaillier,"Commande par téléphone, Déplacement à domicile, Vente en ligne","Matin, Après-midi","Matin, Après-midi","Matin, Après-midi","Matin, Après-midi","Matin, Après-midi","Matin, Après-midi",,,Alpes-Maritimes, <br /> <br /> <br />Bijoutier-joaillier,"Lundi :Matin, Après-midi\nMardi :Matin, Après-midi\nMercredi :Matin, Après-midi\nJeudi :Matin, Après-midi\nVendredi :Matin, Après-midi\nSamedi :Matin, Après-midi","Commande par téléphone<br /> Déplacement à domicile<br /> Vente en ligne<br /><a href=""https://sabyjoux.com"" target=""_blank"">https://sabyjoux.com</a>",Nice,https://docs.google.com/forms/d/e/1FAIpQLSedEvhvPyeuy-qQ8ZdyaXP9g9Uv4IuQNWlsXvhOMnaqGC8tgg/viewform?edit2=2_ABaOnueX3TJOFRBKew4s4_SgMjoQR-XDZvlJjOfnN1iwL0x8xe6Lk7cmbxRrmsuK9o_Iogk
Les moulins du montagnier,Saint-Julien,Les moulins du montagnier,42467130300016,48 rue de malavalasse 83560 St julien le montagnier,"43,6945888","5,9146066",lesmoulinsdumontagnier@gmail.com,0494800333,https://www.facebook.com/Boulangerie-Les-Moulins-du-Montagnier-411918112524956,Boulanger / Pâtissier,,,,"Commande par téléphone, En magasin",Matin,"Matin, Après-midi",Matin,"Matin, Après-midi","Matin, Après-midi","Matin, Après-midi",Matin,,Var,Boulanger / Pâtissier <br /> <br /> <br />,"Lundi :Matin\nMardi :Matin, Après-midi\nMercredi :Matin\nJeudi :Matin, Après-midi\nVendredi :Matin, Après-midi\nSamedi :Matin, Après-midi\nDimanche :Matin","Commande par téléphone<br /> En magasin<br /><a href=""https://www.facebook.com/Boulangerie-Les-Moulins-du-Montagnier-411918112524956"" target=""_blank"">https://www.facebook.com/Boulangerie-Les-Moulins-du-Montagnier-411918112524956</a>",Saint-Julien,https://docs.google.com/forms/d/e/1FAIpQLSedEvhvPyeuy-qQ8ZdyaXP9g9Uv4IuQNWlsXvhOMnaqGC8tgg/viewform?edit2=2_ABaOnucNn5kLK5z8QrsW9Yaz20tmxt-ZwpEJe5a4xTcJoVSVHbIpv9e7RfpjvzOtTlg1BSY
Chaudronnerie Services 84,Orange,Chaudronnerie Services 84,82816803900018,ancienne route royale 84100 Orange,"44,1149238","4,8452275",chaudronnerie-services84@outlook.fr,0699583882,https://www.facebook.com/chaudronnerieservices84,,Chaudronnerie Soudure Serrurerie-métallerie,,,"Commande par téléphone, Sur rendez-vous","Matin, Après-midi","Matin, Après-midi","Matin, Après-midi","Matin, Après-midi","Matin, Après-midi",,,,Vaucluse, <br />Chaudronnerie Soudure Serrurerie-métallerie <br /> <br />,"Lundi :Matin, Après-midi\nMardi :Matin, Après-midi\nMercredi :Matin, Après-midi\nJeudi :Matin, Après-midi\nVendredi :Matin, Après-midi","Commande par téléphone<br /> Sur rendez-vous<br /><a href=""https://www.facebook.com/chaudronnerieservices84"" target=""_blank"">https://www.facebook.com/chaudronnerieservices84</a>",Orange,https://docs.google.com/forms/d/e/1FAIpQLSedEvhvPyeuy-qQ8ZdyaXP9g9Uv4IuQNWlsXvhOMnaqGC8tgg/viewform?edit2=2_ABaOnufi1MYep53sJ-InAlvl78fSkOc0vyxV59_sid4vn1V93MU-p0i3jEB29T8TARfcvI0
Prétexte coiffure,Roquebrune-Cap-Martin,Prétexte coiffure,43947737300013,207 avenue Aristide Briand 06190 Roquebrune-Cap-Martin,"43,765102","7,4850736",Fanny.pretexte@gmail.com,0493353496,,,Coiffeur / Esthétique,,,Avec ou sans rendez vous,"Matin, Midi, Après-midi","Matin, Midi, Après-midi","Matin, Midi, Après-midi","Matin, Midi, Après-midi","Matin, Midi, Après-midi","Matin, Midi, Après-midi",,,Alpes-Maritimes, <br />Coiffeur / Esthétique <br /> <br />,"Lundi :Matin, Midi, Après-midi\nMardi :Matin, Midi, Après-midi\nMercredi :Matin, Midi, Après-midi\nJeudi :Matin, Midi, Après-midi\nVendredi :Matin, Midi, Après-midi\nSamedi :Matin, Midi, Après-midi",Avec ou sans rendez vous,Roquebrune-Cap-Martin,https://docs.google.com/forms/d/e/1FAIpQLSedEvhvPyeuy-qQ8ZdyaXP9g9Uv4IuQNWlsXvhOMnaqGC8tgg/viewform?edit2=2_ABaOnufYoExuu-8bm-RBzyrCd_iF0MHBFk_Nw1hcZ5x9kaRfWA2N28AuXiSlLx1fYZMMvvI
